,Date,Time,Operator,Flight_Number,Route,Location_or_Route,Aircraft_Type,Aircraft_Registration,Construction_Number_or_Line_Number,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passenger_Fatalities,Crew_Fatalities,Ground_Fatalities,Accident_Summary,Aboard_or_Fatalities_Discrepancy,Control_Char_and_Column
58,1921-05-17,,US Aerial Mail Service,,,"Rock Springs, Wyoming","De Havilland DH-4",176,,1,0,1,1,0,1,0,Crashed while attempting to land.,None,Aircraft_Type: 'De Havilland DH-4\rDe Havilland DH-4'
108,1926-03-08,,Deutche Lufthansa,,,"Staaken, Germany",Junkers F-13,"D-290",665,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.,None,Aircraft_Registration: 'D-290\rD-290'
123,1927-04-15,,Varney Air Lines,,,"King Hill, Idaho","Swallow",,A28,1,0,1,1,0,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,None,Aircraft_Type: 'Swallow\rSwallow'
128,1927-08-22,08:30:00,KLM Royal Dutch Airlines,,Croydon - Schiphol,"Sevenoaks, England",Fokker F-VIII,"H-NADU",4993,11,9,2,1,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",None,Aircraft_Registration: 'H-NADU\rH-NADU'
129,1927-09-03,,Colonial Air Transport,,,"Willington, Connecticut",Fokker Universal,"NC52",405,1,0,1,1,0,1,0,The postal plane crashed for unknown reasons.,None,Aircraft_Registration: 'NC52  \t\rNC52'
137,1927-11-29,,National Air Transport,,,"Corunna, Indiana",Douglas M-4,"NC62 NC1062",PO641,1,0,1,1,0,1,0,The postal plane crashed at night in poor weather.,None,Aircraft_Registration: 'NC62  \t\rNC1062'
147,1928-04-17,,Boeing Air Transport,,,"Federal, Wyoming",Boeing 40,"NC282",893,2,1,1,1,1,0,0,Spatial disorientation after entering a snowstorm.,None,Aircraft_Registration: 'NC282\rNC282'
149,1928-05-07,,Aeropostale,,,"Florianopolis, Brazil",Latecoere 26,F-AIMQ,671,5,3,2,1,1,0,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,None,"Location_or_Route: 'Florianopolis, Brazil\rFlorianopolis, Brazil\rFlorianopolis, Brazil'"
162,1928-10-04,,Aeropostale,,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,"Gerona, Spain",Breguet 14,"F-AEEJ",159,3,2,1,3,2,1,0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,",None,Aircraft_Registration: 'F-AEEJ\rF-AEEJ'
179,1929-01-31,,Aeropostale,,Agadir - Casablanca,Off Morocco,Latecoere 26,"F-AIMU",674,2,0,2,2,0,2,0,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons.",None,Aircraft_Registration: 'F-AIMU\rF-AIMU'
283,1932-03-29,,Air Orient,,Damascus - Baghdad - Karachi,"Rutbah Wells, Iraq",Farman F-190,"F-AJDP",7120,3,1,2,3,1,2,0,Crashed into the ground during a sand storm.,None,Aircraft_Registration: 'F-AJDP\rF-AJDP'
427,1936-08-02,06:00:00,Air France,,Paris - Toulouse - Dakar - Natal - Rio de Janeiro,"Mazamet, France",Wibault 280,"F-ANBL",15,3,0,3,3,0,3,0,The mail plane crashed into mountains 50 miles from Toulouse in fog.,None,Aircraft_Registration: 'F-ANBL\rF-ANBL'
482,1937-11-16,15:30:00,Sabena,,Cologne - Brussels - London,"Ostende, Belgium",Junkers JU-52/3m,OO-AUB,5827,11,8,3,11,8,3,0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weatherconditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility.",None,"Accident_Summary: ""The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather\rconditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility."""
638,1942-04-21,21:27:00,Guinea Airways Limited,,Brisbane - Bachelor Field,"Pine Creek, Australia",Lockheed 14 Electra,VH-ADY,,12,10,2,12,10,2,0,"The aircraft was on a government charter carrying US teletype operators from a course they'd completed in Brisbane. They departed Archerfield (Brisbane) at 0622 EST and refuelled at Charleville, Cloncurry, and Daily Waters, departing from Daily Waters at 1655 Central Standard time. From there a chain of events happened and they remained lost in scattered thunderstorms and drizzle and the blacked out North, being told by Darwin D/F that they were over a hundred miles north of where they really were, due to the inadequacies of the equipment at that time of day, the storms and long distance. In an attempt to force land before running out of fuel, they probably had an engine failure from fuel starvation in the lower engine as they oozed around in a slow turn where the captain would have been peering forward out of an open window, trying to locate a lighter (more grassy) spot in the bush to put down in rain. They probably would have been very slow so as to descend rapidly when a likely spot was sighted and on increasing power on the remaining engine the Electra flipped into a vertical bank and struck a ridge top. The wreckage was found on 6/22/1943. We feel that they would have been very slow so as to descend rapidly when a likely spot was sighted and on increasing power on the remaining engine the Electra flipped into a vertical bank and struck a ridge top as one wing was undamaged and removed from the site when it was found. Lockheed 14s were renown as nasty buggers at low speed on one engine.",None,"Accident_Summary: ""The aircraft was on a government charter carrying US teletype operators from a course they'd completed in Brisbane. They departed Archerfield (Brisbane) at 0622 EST and refuelled at Charleville, Cloncurry, and Daily Waters, departing from Daily Waters at 1655 Central Standard time. From there a chain of events happened and they remained lost in scattered thunderstorms and drizzle and the blacked out North, being told by Darwin D/F that they were over a hundred miles north of where they really were, due to the inadequacies of the equipment at that time of day, the storms and long distance. In an attempt to force land before running out of fuel, they probably had an engine failure from fuel starvation in the lower engine as they oozed around in a slow turn where the captain would have been peering forward out of an open window, trying to locate a lighter (more grassy) spot in the bush to put down in rain. They probably would have been very slow so as to descend rapidly when a likely spot was sighted and on increasing power on the remaining engine the Electra flipped into a vertical bank and struck a ridge top. The wreckage was found on 6/22/1943.\r\r\rWe feel that they would have been very slow so as to descend rapidly when a likely spot was sighted and on increasing power on the remaining engine the Electra flipped into a vertical bank and struck a ridge top as one wing was undamaged and removed from the site when it was found.\r\rLockheed 14s were renown as nasty buggers at low speed on one engine."""
672,1943-02-22,06:47:00,Pan American World Airways,9035,New York - Hamilton - Horta - Lisbon - Marseille,"Lisbon, Portugal",Boeing B-314 (flying boat),NC18603,1990,39,33,6,25,20,5,0,"Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot, who had saved her life despite his own serious injury, but they too divorced.",None,"Accident_Summary: 'Crashed into the Tagus River in poor weather while attempting to land. Inadvertent contact of the left wing tip of the aircraft with the water while making a descending turn preparatory to landing. The aircraft was named the Yankee Clipper.  Novelist Ben Robertson and singer, actress Tamara Drasin, 34, among those killed. Actress Jane Froman seriously injured. She later divorced her husband and married the co-pilot,\rwho had saved her life despite his own serious injury, but they too divorced.'"
1080,1948-12-06,10:30:00,"Avio Linee Italiane",,Milan - Brussels,"Milan, Italy",Douglas C-47,I-ETNA,4396,7,6,1,7,6,1,0,The aircraft crashed during takeoff in fog.,None,Operator: 'Avio Linee Italiane\rAvio Linee Italiane'
1193,1950-07-30,13:00:00,"SAVG (S.A. Viacao Gaucha)",,Porto Alegre - Sao Borja,"Algrete, Brazil",Lockheed 18 LodeStar,P-SAA,18-2133,12,10,2,12,10,2,0,The aircraft hit the slope of the Cerro Cortelini located near São Francisco de Assis while en route.,None,"Operator: 'SAVG (S.A. Viacao Gaucha, )\rSAVG'"
1369,1953-01-15,04:48:00,Military -Royal Air Force,-,,"25 nm off Agrigento, Italy",Vickers Valetta Mk1 / Avero Lancaster,VX562 / TX270,,26,16,10,26,16,10,0,"Both aircraft crashed after a midair collision at approximately 1,500 ft.  Weather conditions at the time were a factor with localized thundrestorms, heavy rain and hail. The court of enquiry was of the opinion that no responsibility could be attached to any individual.  Although evidence revealed that the  Malta Flight Information Center were not in possession of full information on the Lancaster's sortie, it was not a contributory cause. Nineteen killed aboard the Vickers, 7 aboard the Lancaster.",None,"Accident_Summary: ""Both aircraft crashed after a midair collision at approximately 1,500 ft.  Weather conditions at the time were a factor with localized thundrestorms, heavy rain and hail. The court of enquiry was of the opinion that no responsibility could be attached to any individual.  Although evidence revealed that the  Malta Flight\rInformation Center were not in possession of full information on the Lancaster's sortie, it was not a contributory cause. Nineteen killed aboard the Vickers, 7 aboard the Lancaster."""
1852,1960-09-02,17:10:00,Aeroflot,804,Arkhangelsk - Cherepovets,"Near Zikhnovo, Russia",Ilyushin IL-14P,CCCP-04200,1470 014 18,18,13,5,18,13,5,0,The plane flew into the side of Mt. Belaya in poor weather. Crew flew below minimums.,None,Route: 'Arkhangelsk - \tCherepovets'
1865,1960-10-29,,Cubana de Aviacion,,"Havana, Cuba - Nueva Gerona","Key West, Florida",Douglas DC-3,,,37,34,3,1,1,0,0,Ten minutes into the flight the copilot grabbing the air marshall and forcing the pilot at gunpoint to head to Key West. A shooting erupted and the air marshall was killed. A total of nine persons were involved in the hijacking.,None,"Route: 'Havana, Cuba - \tNueva Gerona'"
1899,1961-07-08,19:00:00,Aeroflot,411,Kazan - Sverdlovsk,"Sverdlovsk, Russia",Ilyushin IL-14P,CCCP-41848,6341706,26,21,5,9,4,5,0,The plane ran out of fuel and crash landed. Crew did not refuel at Kazan.,None,Route: 'Kazan - \tSverdlovsk'
1933,1961-12-24,10:50:00,Kodiak Airways,,Old Harbor - Kaguyak,"Old Harbor, Kodiak Island, Alaska",Grumman G-21A Goose,N1503V,1020,5,4,1,1,1,0,0,"Crashed shortly after initial lift-off while making a water takeoff from Old Harbor. Improperly executed takeoff which resulted in an inadvertent descent into the water. This produced a high-speed low-angle porpoising from which the pilot was unable to recover.",None,Accident_Summary: 'Crashed shortly after initial lift-off while making a water takeoff from Old Harbor. Improperly executed takeoff  \rwhich resulted in an inadvertent descent into the water. This produced a high-speed low-angle porpoising from which the pilot was unable to recover.'
2035,1963-04-04,04:30:00,Aeroflot,25,Moscow - Krasnoyarsk,"Tatarstan, Russia",Ilyushin IL-18,CCCP-75866,183005901,67,59,8,67,59,8,0,"Crashed in a snow covered field whille en route. The pitch control mechanism of the No. 4 prop failed, creating a severe drag. As the crew was not able to establish under these conditions which one of the right props had caused the problem both were feathered. The airplane entered a high speed descent from which the crew was unable to recover. Control was regained and the crew pulled up when breaking through the low clouds at 150-200 metres but elevators broke off. Control was lost and the airplane crashed.",None,Route: 'Moscow - :\tKrasnoyarsk'
2059,1963-08-24,10:53:00,Aeroflot,663,Kutaisi - Sukhumi,"Near Kutaisa, Russia",Ilyushin Il-14P,CCCP-61617,014 602107,32,27,5,32,27,5,0,"Shortly after taking off the aircraft crashed in a wooded hillside, 32 km northwes of Kutaisa. Crew error. VFR flight into IMC.",None,"Route: 'Kutaisi - \tSukhumi', Accident_Summary: 'Shortly after taking off the aircraft crashed in \ta wooded hillside, 32 km northwes of Kutaisa. Crew error. VFR flight into IMC.'"
2106,1964-06-13,,Saudi Arabian Airlines,,Training,"Jeddah, Saudia Arabia",Douglas C-47A,HZ-AAN,12899,2,0,2,2,0,2,0,Crashed into the Red Sea.,None,"Location_or_Route: 'Jeddah, Saudia Arabia\rJeddah, Saudia Arabia'"
2159,1965-05-05,21:17:00,Iberia Airlines,401,Madrid - Tenerife,"Tenerife, Canary Islands, Spain",Lockheed 1049G-55 Super Constellation,EC-AIN,4550,49,40,9,30,24,6,0,"The pilot, who saw the beginning of the runway clearly, but not the rest of it, decided to make a very low run after which he re-applied power for a go-around. After starting his go-around, the aircraft struck a tractor located 50 meters from the runway edge. Heavily damaged, the plane crashed on the western edge of the diversion canal of the Rodeo gorge. Decision not to divert to Las Palmas in view of the weather conditions.",None,"Location_or_Route: 'Tenerife, Canary Islands, Spain\rCanary Islands'"
2206,1966-01-17,,Military - US Air Force,,GS Johnson AFB NC  - Soviet Border - GS Johnson AFB,"Palomares, Spain",Boeing B52 Stratofortress/Boeing KC 135A,580256/61-0273,464324/18180,11,0,11,7,0,7,0,"The 1966 Palomares B-52 crash, also called the Palomares incident, occurred, when a B-52G bomber of the United States Air Force's Strategic Air Command collided with a KC-135 tanker during mid-air refueling at 31,000 feet over the Mediterranean Sea, off the coast of Spain. The KC-135 was completely destroyed when its fuel load ignited, killing all four crew members. The B-52G broke apart, killing three of the seven crew members aboard. At the time of the accident, the B-52G was carrying four B28FI Mod 2 Y1 thermonuclear (hydrogen) bombs, all of which fell to the surface. Three were found on land near the small fishing village of Palomares in the municipality of Cuevas del Almanzora, Almería, Spain. The non-nuclear explosives in two of the weapons detonated upon impact with the ground, resulting in the contamination of a 0.77-square-mile area with radioactive plutonium. The fourth, which fell into the Mediterranean Sea, was recovered intact after a search lasting 2 1/2  months.",None,"Accident_Summary: ""The 1966 Palomares B-52 crash, also called the Palomares incident, occurred, when a B-52G bomber of the United States Air Force's Strategic Air Command collided with a KC-135 tanker during mid-air refueling at 31,000 feet over the Mediterranean Sea, off the coast of Spain. The KC-135 was completely destroyed when its fuel load ignited, killing all four crew members. The B-52G broke apart, killing three of the seven crew members aboard.\rAt the time of the accident, the B-52G was carrying four B28FI Mod 2 Y1 thermonuclear (hydrogen) bombs, all of which fell to the surface. Three were found on land near the small fishing village of Palomares in the municipality of Cuevas del Almanzora, Almería, Spain. The non-nuclear explosives in two of the weapons detonated upon impact with the ground, resulting in the contamination of a 0.77-square-mile area with radioactive plutonium. The fourth, which fell into the Mediterranean Sea, was recovered intact after a search lasting 2 1/2  months."""
2224,1966-04-23,08:03:00,Aeroflot,2723,"Baku, Azerbaijan - Makhachkala, Russia","Off Baku, Azerbaijan",Ilyushin IL-14,CCCP-61772,146000310,33,28,5,33,28,5,0,The pilot reported both engine were losing power and he was going to ditch the plane into the ocean. Engine failure cause unknown. The wreckage was never found.,None,"Route: 'Baku, Azerbaijan - \tMakhachkala, Russia'"
2252,1966-11-22,12:20:00,Aden Airways,,"Aden - Maifa'a Mayfa'ah - Arden, Yemen","Near Aden, Yemen",Douglas DC-3,VR-AAN,4284,30,27,3,30,27,3,0,The aircraft crashed into the desert 20 minutes after taking off. The aircraft made contact with ATC during the climb but failed to make a scheduled report an hour later. Detonation of an explosive device placed in hand luggage in the cabin on the port side just above the wing.,None,"Route: ""Aden - Maifa'a \rMayfa'ah - Arden, Yemen"""
2318,1968-01-06,18:27:00,Aeroflot,1668,Olekminsk - Lensk,"Near Olekminsk, Russia",Antonov An-24B,CCCP-47733,69901001,46,39,6,45,39,6,0,Entered an uncontrolled descent and crashed 92 km from Olekminsk. The cause of the accident could not be determined.,Aboard,Route: 'Olekminsk - \tLensk'
2327,1968-02-29,22:43:00,Aeroflot,15,Krasnoyarsk - Petropavlovsk,"Near Bratsk, Russia",Ilyushin IL-18D,CCCP-74252,187010601,84,75,9,83,74,9,0,After an emergency situation and emergency descent the plane broke apart at FL100 and crashed. One passenger survived. Fuel leak.,None,Route: 'Krasnoyarsk - \tPetropavlovsk'
2420,1969-08-03,16:00:00,Aeroflot,H926,Dnepropetrovsk - Vinnitsa,"Preobrazhenka, Ukraine",Antonov An-24B,CCCP-46248,77303206,55,51,4,55,51,4,0,"At an altitude of 4,000 m the propeller separated from the left engine.The blade punctured the fuselage, severing elevator and aileron controls. The crew could not control the plane  anymore. It went into a spin and crashed.",None,Route: 'Dnepropetrovsk - \tVinnitsa'
2530,1971-01-22,21:36:00,Aeroflot,,Omsk - Surgut,"Surgut, USSR",Antonov AN-12B,CCCP 11000,5343610,14,12,2,14,12,2,0,Crashed 15 km short of the runway. Icing. The engine bleed valves were not open causing  the anti-icing system to become ineffective.,None,Route: 'Omsk - \tSurgut'
2566,1971-10-10,20:17:00,Aeroflot,773,Moscow - Simferopol,"Moscow, Russia",Tupolev TU-104B,CCCP-42490,021603,25,18,7,25,18,7,0,"The airplane was climbing through an altitude of 1,200 m after takeoff when an explosion occurred. A TNT explosive device had been placed between the cabin wall and a passenger seat in the rear of the cabin The blast destroyed the flight controls. The airplane rolled to the right and descended until it collided with the ground.",None,"Accident_Summary: 'The airplane was climbing through an altitude of 1,200 m after takeoff when an explosion occurred. A TNT explosive device had been placed between the cabin wall and a passenger seat in the rear of the cabin \rThe blast destroyed the flight controls. The airplane rolled to the right and descended until it collided with the ground.'"
2601,1972-05-04,23:34:00,Aeroflot,608,Irkutsk - Bratsk,"Bratsk, USSR",Yakovlev YAK-40,CCCP-87778,9040314,18,14,4,18,14,4,0,Crashed on approach. The plane entered an area of severe wind. Windshear. ATC error. Current weather was not passed on to the plane.,None,Route: 'Irkutsk - \tBratsk'
2606,1972-05-18,11:53:00,Aeroflot,1491,Moscow - Kharkov,"Near Kharkov, Ukraine, USSR",Antonov AN-10A,CCCP-11215,0402502,122,115,7,122,115,7,0,Structural failure and separation of both wings due to a fatigue crack in the center wing section.,None,Route: 'Moscow - :\tKharkov'
2670,1973-02-24,07:37:00,Aeroflot,630,Dushanbe - Leninabad,"Near Leningrad, Russia",Ilyushin IL-18,CCCP-75712,189001804,79,71,8,79,71,8,0,The aircraft entered a spin after the plane banked 60 degrees and then dove into the ground.,None,Route: 'Dushanbe - \tLeninabad'
2680,1973-05-11,04:37:00,Aeroflot,6551,"Tashkent, Uzbekistan - Novosibirsk, Russia","Near Semipalatinsk, USSR",Ilyushin IL-18B,SSR-75687,189001202,61,55,8,61,55,8,0,The plane disintegrated during an emergency descent and crashed 84km from Semipalatins. Collision with a foreign object causing damage to the wing.,Both,"Route: 'Tashkent, Uzbekistan - \tNovosibirsk, Russia'"
2828,1975-11-20,19:38:00,Aeroflot,7950,"Rostov, Russia - Kharkov, Ukraine","Kharkov, Ukraine, USSR",Antonov AN-24,CCCP-46349,97305708,50,46,4,19,18,1,0,Crashed into trees on a slope of a hill near Kharkov Airport. Air traffic control reported a wrong QNH setting to the crew. Crew ignored ground proximity warnings.,None,"Route: 'Rostov, Russia - \tKharkov, Ukraine'"
2865,1976-08-09,12:30:00,Military - Spanish Air Force,,Moron - Canary Islands,"Moron AFB, Spain",Douglas C-54E,T4/11-352,27344,32,28,4,12,12,0,0,Crashed 15 minutes after taking off. An engine caught fire.,None,"Location_or_Route: 'Moron AFB, Spain\r\t\rMoron AFB, Spain\r\t\rMoron AFB, Spain'"
2904,1977-03-30,08:39:00,Aeroflot,H-925,Dnepropetrovsk - Zhdanov,"Near Zhadanof, Russia",Yakovlev YAK-40,CCCP-87738,9010310,27,23,4,8,5,3,0,"The crew continued their visual approach after entering an area of fog with visibility less than 500 m and losing sight of the ground. After deciding to go around, the right wing hit a 9-meter high pole. The wing caught fire and the number 2 engine failed. The fuselage hit the ground sideways in a field about 1,500 meters from the runway. The plane broke up and caught fire. The pilot-in-command decided to continue the approach below the glide under VFR mode in IMC conditions.",None,Route: 'Dnepropetrovsk - \tZhdanov'
2989,1978-10-07,,Aeroflot,,Sverdlovsk - Kustanai,"Sverdlovsk, Russia",Yakovlev YAK-40,CCCP-87437,9431335,38,34,4,38,34,4,0,Crashed after the left engine flamed out on takeoff.,None,Route: 'Sverdlovsk - \tKustanai'
2992,1978-10-23,19:41:00,Aeroflot,6515,Krasnodar - Simferopol,"Gulf of Sivash, USSR",Antonov AN-24B,CCCP-46327,97305504,26,21,5,26,21,5,0,Crashed following engine flame out in icing conditions.,None,Route: 'Krasnodar - t:\tSimferopol'
3016,1979-03-14,23:40:00,Alia Royal Jordanian Airlines,600,Amman - Doha,"Near Doha Airport, Qatar",Boeing B-727-2D3,JY-ADU,20886/1061,64,49,15,45,41,4,0,"Despite two missed approaches in thunderstorms, the pilot declined the controllers' suggestion to divert to Dubai. The aircraft landed heavily on the runway (due to windshear), suffered landing gear damage, veered off the runway and crashed into a fire station building not far from the terminal building. At that time, all on board were still alive. Fire from spilled fuel started shortly thereafter and there was panic to escape the cabin. The aircraft was named ""The City of Petra.""",None,"Accident_Summary: 'Despite two missed approaches in thunderstorms, the pilot declined the controllers\' suggestion to divert to Dubai. The aircraft landed heavily on the runway (due to windshear), suffered landing gear damage, veered off the runway and crashed into a fire station building not far from the terminal building. At that time, all on board were still alive. Fire from spilled fuel started shortly thereafter and there was panic to escape the cabin. \rThe aircraft was named ""The City of Petra.""'"
3036,1979-08-03,,Aeroflot,,Smolensk - Leningrad,"Leningrad, USSR",LET 410M turbojet,CCCP-67206,760509,14,12,2,14,12,2,0,Crashed due to engine failure on approach.,None,Route: 'Smolensk -\tLeningrad ('
3041,1979-09-03,,Aeroflot,A-513,Arkhangelsk - Amderma,"Andema, Russia",Antonov AN-24,CCCP-46269,77303602,44,37,7,40,35,5,0,The plane undershot the runway and crashed.,None,Route: 'Arkhangelsk - \tAmderma'
3050,1979-10-27,07:15:00,Aeroflot,,Lensk - Peleduy,"Lensk, Russia",Antonov An-2TP,CCCP-32322,1G97-34,12,10,2,3,2,1,0,The cargo plane crashed on takeoff. Improper loading.,None,Route: 'Lensk -\tPeleduy'
3123,1981-04-28,12:31:00,Aeroflot,,Batagay - Lazo,"Batagay, Russia",Antonov An-2TP,CCCP-92864,1G53-16,12,10,2,12,10,2,0,Crashed into a mountainside. Icing.,None,Route: 'Batagay - \tLazo'
3192,1982-07-06,00:35:00,Aeroflot,411,Moscow - Dakar,"Near Moscow, Russia",Ilyushin IL-62M,CCCP-86513,4037536,90,80,10,90,80,10,0,The aircraft crashed and burned in field shortly after takeoff. Failure of the aircraft's power plant fire warning system due to design deficiencies which resulted in false fire indications in both engines.,None,Route: 'Moscow - \tDakar'
3344,1985-08-22,06:13:00,British Airtours,28M,Manchester - Kerkira,"Manchester, England",Boeing B-737-236,G-BGJL,22033/743,137,131,6,55,53,2,0,"During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxic smoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft so it stopped with fire upwind of the fuselage, all helped to feed the flames. The front starboard side door was farthest from flames but jammed when there was a partial premature chute deployment, and  the crew spent time trying to unjam it, while toxic smoke accumulated in the cabin, before starting evacuations through port side door. The aircraft was named ""River Orrin.""",None,"Accident_Summary: 'During takeoff from Manchester, failure of the No. 9 combustor on the port engine resulted in its ejection from the engine and fracturing of the fuel tank access panel and resulting fire. The fire spread into the cabin incapacitating and killing passengers due to toxic smoke. Thermal metal fatigue of the combustor. Slow braking, using reverse thrust and turning the aircraft so it stopped with fire upwind of the fuselage, all helped to feed the flames. The front starboard side door was farthest from flames but jammed when there was a partial premature chute deployment, and  the crew spent time trying to unjam it, while toxic smoke accumulated in the cabin, before starting evacuations through port side door.\r The aircraft was named ""River Orrin.""'"
3390,1986-07-02,10:27:00,Aeroflot,2306,Syktyvkar - Moscow,"Near Syktyvar, Russia",Tupolev TU-134A,CCCP-65120,60482,92,86,6,54,52,2,0,The aircraft crashed in a forest after an in-flight fire caused by baggage that ignited in the rear cargo hold led to loss of contol of the aircraft.,None,Route: 'Syktyvkar - \tMoscow'
3402,1986-10-14,08:14:00,Aeroflot,,Ust-May - Allah-Yun,"Ust-Maya, USSR",LET 410MT Turbojet,CCCP-67264,780905,14,12,2,14,12,2,0,Crashed into river on takeoff.,None,Route: 'Ust-May - \tAllah-Yun'
3440,1987-06-19,11:22:00,Aeroflot,H-528,Odessa - Berdyansk,"Berdiansk, USSR",Yakovlev YAK-40,CCCP-87826,9241824,29,24,5,8,6,2,0,"The aircraft landed at a high rate of speed and a go-around was initiated but then aborted. The aircraft overran the runway, crashed into trees and caught fire.",None,Route: 'Odessa - \tBerdyansk'
3577,1989-08-15,,China Eastern Airlines,,Shanghai - Hongqiao,"Shanghai, China",Antonov AN-24RV,B-3417,37309006,40,34,6,34,28,6,0,Lost power and crashed into a river shortly after taking off from Shanghai.,None,"Location_or_Route: 'Shanghai, China\r, China'"
3581,1989-09-08,16:36:00,Partnair,394,Oslo - Hamburg,"Skagerrak, Denmark",Convair CV-580,LN-PAA,056,55,50,5,55,50,5,0,"The aircraft crashed into the sea after an in-flight breakup. Severe vibration caused by worn bolts causing the rudder to jam and the tail to collapse. Bolts used to attach the fin to the fuselage were found to be counterfeit and wore much faster that genuine bolts.  Official PC: The accident was caused by loss of control due to the destruction of primary control surfaces in the tail section, which, in turn, was caused by aeroelastic oscillations initiated by abnormal clearances in the vertical stabilizer attachments to the fuselage structure. The condition of the attachments was a result of excessive wear in pins and sleeves used in this structural joint. The pins and sleeves were of an inferior quality and did not satisfy specified values for hardness and tensile strength. They had also been installed and inspected using sub-standard maintenance procedures. Undamped oscillations in the elevator contributed to the structural failure of the empennage.""",None,"Accident_Summary: 'The aircraft crashed into the sea after an in-flight breakup. Severe vibration caused by worn bolts causing the rudder to jam and the tail to collapse. Bolts used to attach the fin to the fuselage were found to be counterfeit and wore much faster that genuine bolts.  Official PC: The accident was caused by loss of control due to the destruction of primary control surfaces in the tail section, which, in turn, was caused by aeroelastic oscillations initiated by abnormal clearances in the vertical stabilizer attachments to the fuselage structure.\rThe condition of the attachments was a result of excessive wear in pins and sleeves used in this structural joint. The pins and sleeves were of an inferior quality and did not satisfy specified values for hardness and tensile strength. They had also been installed and inspected using sub-standard maintenance procedures. Undamped oscillations in the elevator contributed to the structural failure of the empennage.""'"
3587,1989-09-21,,Military - Afghan Republican Air Force,,,"Centeral Afghanistan",Mil Mi-8 (helicopter),,,26,,,26,,,0,,Both,Location_or_Route: 'Centeral Afghanistan\rAfghanistan'
3592,1989-09-28,20:08:00,MAP,,Mukachevo - Moscow,"Semyonovka ,Ukraine",Antonov An-32,CCCP-48095,1705,9,4,5,9,4,5,0,Failure of the autopilot caused the plane to enter a spiral descent. Attempts to pull the plane out caused the aircraft to break-up in midair and crash into a swamp.,None,Route: 'Mukachevo - \tMoscow'
3702,1991-05-23,13:06:00,Aeroflot,,Sukhumi - St. Petersburg,"Leningrad, USSR",Tupolev TU-154B-1,CCCP-85097,97,181,174,7,13,13,0,0,"Undershot the runway and broke in half after a hard landing. Crew error. A rapid rate of descent, leading to landing gear failure. The accident happened durining daylight in a rain shower.",None,Route: 'Sukhumi - \tSt. Petersburg'
3724,1991-09-17,,Ethiopian Airlines,,Djibouti  - : Dire Dawa-Aba,"Djibouti City, Djibouti",Lockheed L-100-30 Hercules,ET-AJL,5029,4,0,4,4,0,4,0,After experiencing a nose gear problem and attempting to return to the airport the cargo plane made a premature descent and struck Mount Arey.,None,"Location_or_Route: 'Djibouti City, Djibouti\r\tDjibouti City, Djibouti\rDjibouti City, Djibouti'"
